word,PEACE,DEFENSE,NUCLEAR,ALLIANCE,FREEDOM,COMMUNISM,WEAPONS,WAR,MILITARY
Eisenhower 1956,17,15,2,1,6,11,5,11,16
Eisenhower 1961,19,10,6,2,9,13,3,9,4
Kennedy 1962,16,9,6,4,10,7,4,8,9
Kennedy 1963,17,18,13,14,13,17,6,10,4
Johnson 1964,5,3,1,2,2,0,2,7,3
Johnson 1969,11,0,2,0,2,3,1,3,1
Nixon 1970,16,3,0,1,5,1,1,16,2
Nixon 1974,27,3,1,0,3,0,0,8,7
