group,value1,value2
2009,20.44,25.3
2010,28.21,33.16
2011,27.27,32.91
2012,29.21,34.61
2013,26.33,31.25
2014,27,31.15
2015,27.77,30.39
2016,30.3,33.09
2017,25.33,28.85
2018,26.98,30.78
