Month,Brooklyn,Manhattan,Queens,Bronx,Staten Island
JAN,412,423,158,224,33
FEB,320,279,135,198,30
MAR,679,487,300,304,61
APR,824,523,296,401,56
MAY,917,602,316,427,58
JUN,1052,645,382,464,95
JUL,1012,720,401,461,82
AUG,937,699,350,455,80
SEP,860,672,274,421,74
OCT,1077,743,356,451,71
NOV,760,622,234,331,33
DEC,0,0,0,0,0
